org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s,LIGNE
3930,45,0,20210920,9608,0.24,[6.838577609814876],[11.313324671235788],[4.474747061420913],4.474747061420913,0.7402597402597403,047b
3931,45,0,20210920,9607,0.36,[6.844200857509467],[9.191510804437687],[2.3473099469282204],2.3473099469282204,0.8571428571428571,047b
3932,45,0,20210920,9631,0.4,[6.8580223399517095],[9.582808851492883],[2.724786511541174],2.724786511541174,0.8311688311688312,047b
3933,45,0,20210920,9626,0.44,[6.844628760317646],[10.236260083795255],[3.3916313234776085],3.3916313234776085,0.8571428571428571,047b
3934,45,0,20210920,9627,0.4,[6.869679854851925],[11.964604614935537],[5.094924760083612],5.094924760083611,0.7532467532467533,047b
3935,45,0,20210920,9783,0.24,[6.863783934577178],[12.60256163073473],[5.738777696157552],5.738777696157552,0.7922077922077922,047b
3936,45,0,20210920,1143,0.2,[6.8660763953997135],[18.543683494385103],[11.67760709898539],11.67760709898539,0.6233766233766234,047b
3937,45,0,20210920,1121,0.32,[6.866500058596038],[14.992626474278554],[8.126126415682517],8.126126415682517,0.7792207792207793,047b
3938,45,0,20210920,9784B,0.3571428571428571,[6.882440476190476],[7.100841691649842],[0.21840121545936597],0.2184012154593659,1.324675324675325,047b
3939,45,1,20210920,9784B,0.0909090909090909,"[6.885665529010239, 7.129834254143646]","[7.045136459732524, 7.169893255397211]","[0.1594709307222857, 0.04005900125356465]",0.0841495598266308,1.2142857142857142,047b
3940,45,1,20210920,9786,0.7272727272727273,"[6.8533638535031844, 7.149355865258676]","[9.765015644463364, 10.17833719801684]","[2.91165179096018, 3.028981332758163]",2.9856596557866,0.8571428571428571,047b
3941,45,1,20210920,9787,0.5909090909090909,"[6.86734693877551, 7.134686346863469]","[10.196704948573137, 9.535299450689207]","[3.3293580097976267, 2.400613103825738]",2.743534299876897,0.8333333333333334,047b
3942,45,1,20210920,2841,0.6363636363636364,"[6.861034427375622, 7.140884559795812]","[8.971989011650518, 10.691315244437051]","[2.1109545842748956, 3.5504306846412392]",3.018931816813666,0.8095238095238095,047b
3943,45,1,20210920,9707,0.5,"[6.861488682311152, 7.140608278491912]","[11.459959360981248, 12.260736216393642]","[4.598470678670096, 5.120127937901731]",4.927516026800818,0.7857142857142857,047b
3944,45,1,20210920,9605,0.2727272727272727,"[6.864850554516427, 7.133596016442681]","[12.043880824254574, 9.705927222945226]","[5.1790302697381465, 2.572331206502545]",3.534804706774152,0.7261904761904762,047b
3945,45,1,20210920,9606,0.5,"[6.893511716395419, 7.111855696566454]","[11.247669985187628, 10.53718243802024]","[4.354158268792209, 3.4253267414537865]",3.7682799207787423,0.7857142857142857,047b
3946,45,1,20210920,9632,0.3636363636363636,"[6.887809139025447, 7.118262072718687]","[9.264762754919214, 13.258153643651019]","[2.3769536158937674, 6.139891570932332]",4.750499095225785,0.8214285714285714,047b
3947,45,1,20210920,9634,0.4545454545454545,"[6.856407386417304, 7.139788559126556]","[15.2145430170192, 9.611871352157307]","[8.358135630601895, 2.4720827930307507]",4.645394609980097,0.8333333333333334,047b
3949,45,1,20210920,2352,0.0123456790123456,"[3.267123287671233, 3.0816326530612246]","[73.0, 81.27893333333334]","[69.73287671232876, 78.19730068027212]",74.63333269376966,0.0149253731343283,047b
3952,45,1,20210920,2358,0.3493975903614458,"[3.081699346405229, 3.0294117647058822]","[12.401898515302873, 8.905345767114]","[9.320199168897645, 5.875934002408117]",7.419914939110319,0.6423357664233577,047b
3953,45,1,20210920,2359,0.3493975903614458,"[3.081699346405229, 3.0294117647058822]","[14.698857301105116, 7.214525328929366]","[11.617157954699888, 4.185113564223483]",7.516719670299113,0.6277372262773723,047b
3954,45,1,20210920,2360,0.3132530120481928,"[3.081699346405229, 3.0294117647058822]","[5.5776243416741424, 5.467956722087414]","[2.4959249952689135, 2.4385449573815317]",2.464267043331048,0.7007299270072993,047b
3955,45,1,20210920,2361,0.3373493975903614,"[3.0812708787218592, 3.029058591080607]","[5.428153247189313, 5.8913644021993585]","[2.3468823684674534, 2.8623058111187514]",2.631253923033687,0.781021897810219,047b
3956,45,1,20210920,2362B,0.3734939759036144,"[3.0810620915032683, 3.0115627519484005]","[5.6014523229348, 6.577090366542503]","[2.5203902314315316, 3.5655276145941026]",3.0970177531763983,0.7737226277372263,047b
3957,45,1,20210920,2363,0.3614457831325301,"[3.0751797385620914, 3.0283565124364804]","[4.850874647433553, 5.53809595835308]","[1.7756949088714618, 2.5097394459165994]",2.180684998275676,0.7956204379562044,047b
3958,45,1,20210920,1974,0.3373493975903614,"[3.075165214233842, 3.01129128591053]","[5.6210874140578255, 5.654028599000029]","[2.5459221998239836, 2.6427373130894996]",2.599337434729096,0.7591240875912408,047b
3959,45,1,20210920,2299,0.2875,"[3.3202247191011236, 3.010752688172043]","[5.809328141379221, 3.6579286371305932]","[2.4891034222780974, 0.6471759489585502]",1.5228463870940727,1.2116788321167884,047b
3960,45,0,20210920,3001B,0.0606060606060606,"[6.335106382978723, 5.898692810457517]","[6.826533102200952, 7.2976885038112265]","[0.491426719222229, 1.3989956933537098]",0.9149589071502534,1.0333333333333334,047b
3961,45,1,20210920,3001B,0.1666666666666666,"[6.166666666666667, 6.686119873817034]","[7.137754837794645, 8.366523827811138]","[0.9710881711279784, 1.6804039539941034]",1.4503555919834683,1.0689655172413792,047b
4150,46,1,20210920,2306,0.360655737704918,"[2.706703910614525, 3.125, 3.2419354838709675]","[4.167742217144858, 1.9946274321282729, 2.755489863606819]","[1.461038306530333, -1.1303725678717271, -0.4864456202641487]",0.2273786191176174,2.4178082191780823,048b
4151,46,1,20210920,2634,0.6582278481012658,"[2.715468692108188, 3.125, 3.052941176470588, 3.611111111111111]","[5.719952254422244, 3.6506073089008515, 5.797540354583774, 3.450284596513488]","[3.004483562314056, 0.5256073089008515, 2.7445991781131855, -0.16082651459762332]",2.012827068701982,0.7876712328767124,048b
4152,46,1,20210920,2455,0.6835443037974683,"[2.701619508562919, 3.125, 3.052941176470588, 3.611111111111111]","[5.033219846849656, 3.8442046358346653, 4.892620177591913, 4.8342821565430985]","[2.331600338286737, 0.7192046358346653, 1.8396790011213247, 1.2231710454319873]",1.8247622801164205,0.773972602739726,048b
4153,46,1,20210920,2954B,0.6708860759493671,"[2.7111111111111112, 3.125, 3.052941176470588, 3.611111111111111]","[5.148538978168885, 2.3658649605602253, 4.35842716929849, 3.7297992228534858]","[2.4374278670577736, -0.7591350394397747, 1.3054859928279017, 0.11868811174237459]",1.3754083010514424,0.8013698630136986,048b
4154,46,1,20210920,2456,0.6229508196721312,"[2.7064833672776647, 3.125, 3.2262271655274413]","[4.3682499463050455, 3.703524419574813, 4.5039474070752865]","[1.6617665790273808, 0.5785244195748129, 1.2777202415478452]",1.3681828962014608,0.863013698630137,048b
4155,46,1,20210920,2457,0.4754098360655737,"[2.7262156934978816, 3.125, 3.215146592868889]","[4.742342257780665, 5.991099057489858, 3.325787351536043]","[2.0161265642827835, 2.8660990574898584, 0.11064075866715406]",1.1066974113346737,0.821917808219178,048b
4156,46,1,20210920,5858,0.1475409836065573,"[2.7606344480073295, 3.125, 3.20719036120334]","[4.850605778290396, 20.0, 3.4362346526277716]","[2.089971330283067, 16.875, 0.22904429142443172]",2.4286159295289966,0.5273972602739726,048b
4157,46,1,20210920,5859,0.0983606557377049,"[2.7666323165704862, 3.125, 3.2069094769466084]","[6.654510193152484, 20.0, 4.4326318657181165]","[3.887877876581998, 16.875, 1.225722388771508]",3.6546434706506905,0.5068493150684932,048b
4158,46,1,20210920,2934,0.1612903225806451,"[2.5903614457831323, 3.377551020408163, 3.2065217391304346]","[16.928103771745192, 24.5, 3.6301407859447354]","[14.33774232596206, 21.122448979591837, 0.42361904681430085]",7.749948612214541,0.4794520547945205,048b
4159,46,1,20210920,2459,0.4590163934426229,"[2.590003513703443, 3.377551020408163, 3.427692975924547]","[8.501016246089366, 18.149008333333345, 4.618154082926283]","[5.911012732385922, 14.771457312925182, 1.1904611070017364]",4.297359141247597,0.773972602739726,048b
4160,46,1,20210920,2460,0.3442622950819672,"[2.590247942180285, 3.377551020408163, 3.4263146588760955]","[7.289701931121566, 3.63189699815829, 5.770829656422326]","[4.699453988941281, 0.2543459777501269, 2.3445149975462307]",3.0176623000656457,0.7123287671232876,048b
4161,46,1,20210920,2767,0.3934426229508196,"[2.606443024494143, 3.377551020408163, 3.368488879949428]","[12.30456449469858, 4.4553601663076545, 5.077436229618326]","[9.698121470204438, 1.0778091458994914, 1.7089473496688976]",4.631493242683004,0.773972602739726,048b
4162,46,1,20210920,2773,0.3442622950819672,"[2.590493994446117, 3.377551020408163, 3.4183659003831415]","[7.534677277120904, 4.304898958599314, 4.703820571661412]","[4.944183282674787, 0.9273479381911511, 1.2854546712782704]",2.61703502501121,0.7534246575342466,048b
4163,46,1,20210920,2775,0.2786885245901639,"[2.6065132761030143, 3.377551020408163, 3.3706029428669964]","[6.610587062846907, 4.613552871520743, 4.670702164041005]","[4.004073786743893, 1.2360018511125799, 1.3000992211740088]",2.304036132150088,0.773972602739726,048b
4164,46,1,20210920,2671,0.3037974683544304,"[2.5080287206266316, 3.377551020408163, 2.9745232172470977, 7.758064516129032]","[7.026389953821864, 10.604716002706446, 4.578904246119917, 6.21923333333325]","[4.5183612331952325, 7.227164982298284, 1.6043810288728193, -1.5388311827957821]",3.0154944158481176,0.7341772151898734,048b
4165,46,1,20210920,2778,0.2435897435897435,"[2.5073529411764706, 3.377551020408163, 3.0111940298507465, 7.758064516129032]","[8.471839820710898, 3.825658707924912, 5.540311143323111, 5.97518333333331]","[5.964486879534427, 0.4481076875167487, 2.5291171134723642, -1.7828811827957223]",3.301397153170035,0.7468354430379747,048b
4166,46,1,20210920,2467,0.2784810126582278,"[2.4851851851851854, 3.377551020408163, 2.9923076923076923, 7.758064516129032]","[13.200701884929064, 7.2577190160402125, 7.6108255575841275, 5.7038250000000215]","[10.715516699743878, 3.8801679956320494, 4.618517865276435, -2.0542395161290106]",6.344374706983792,0.620253164556962,048b
4167,46,1,20210920,1125,0.1973684210526315,[5.521512308942168],[8.754394348712868],[3.2328820397706997],3.2328820397707,0.7889908256880734,048b
4168,46,1,20210920,1126,0.1447368421052631,[5.5467881355932205],[10.13201696169048],[4.58522882609726],4.58522882609726,0.7889908256880734,048b
4169,46,1,20210920,1127,0.1842105263157894,[5.539099450218405],[7.462646428536434],[1.9235469783180292],1.9235469783180288,0.8348623853211009,048b
4170,46,1,20210920,3630,0.1363636363636363,"[5.322784810126582, 6.0761421319796955]","[7.150568587680389, 8.112854143701657]","[1.8277837775538064, 2.0367120117219617]",1.934859497564986,0.7622950819672131,048b
4171,46,1,20210920,1781,0.1639344262295081,"[5.32444450304117, 5.125641025641026]","[8.441483583544867, 5.424816967228017]","[3.117039080503697, 0.29917594158699057]",2.016311291864359,0.7704918032786885,048b
4172,46,1,20210920,2744,0.1333333333333333,"[4.523921251348435, 5.125641025641026]","[8.471698452966288, 5.458362709462471]","[3.9477772016178534, 0.33272168382144507]",1.8460007377827323,0.7982456140350878,048b
